,payoutChange,divGrowth,payoutAvg, debtEquityAvg ,netMarginAvg,roicAvg, debtToEquity ,52WeekChange,SandP52WeekChange,auditRisk, beta ,boardRisk, bookValue ,compensationRisk, currentPrice , currentRatio ,debtToEquity,earningsGrowth,earningsQuarterlyGrowth, ebitda ,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue, enterpriseValue ,financialCurrency, floatShares , forwardEps , forwardPE , freeCashflow , fullTimeEmployees ,grossMargins, grossProfits ,heldPercentInsiders,heldPercentInstitutions,industry,lastSplitDate,lastSplitFactor, netIncomeToCommon ,numberOfAnalystOpinions, operatingCashflow ,operatingMargins,overallRisk, pegRatio , priceHint , priceToBook ,profitMargins, quickRatio ,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth, revenuePerShare ,sector,shareHolderRightsRisk, sharesOutstanding ,sharesPercentSharesOut, sharesShort , sharesShortPriorMonth ,shortPercentOfFloat, shortRatio , targetHighPrice , targetLowPrice , targetMeanPrice , targetMedianPrice , totalCash , totalCashPerShare , totalDebt , totalRevenue , trailingEps 
BKE,28.95%,4.31%,44.87%, 0.37 ,11.01%,304.05%, -   ,57.9%,15.2%,2, 0.70 ,9, 8.35 ,4, 23.00 , 4.06 ,,34.4%,36.4%," 163,902,000.00 ",0.17982,5.281,0.95," 865,559,552.00 ",USD," 27,927,745.00 ", 1.95 , 11.79 ,," 3,000.00 ",49.818%," 451,307,000.00 ",41.56%,71.15%,Apparel Stores,1389571200,10241/10000," 95,936,000.00 ",1,,14.82%,6, (1.14), 2.00 , 2.75 ,10.52%, 2.49 ,hold,3.3,15.09%,22.81%,2.80%, 18.86 ,Consumer Cyclical,4," 48,379,200.00 ",19.57%," 9,591,212.00 "," 9,809,020.00 ",45.21%, 26.89 , 19.00 , 19.00 , 19.00 , 19.00 ," 220,548,992.00 ", 4.56 , -   ," 911,456,000.00 ", 1.98 
INTU,-17.91%,12.89%,34.15%, 1.95 ,19.97%,443.05%, 18.61 ,57.8%,15.2%,1, 0.79 ,3, 9.10 ,6, 226.02 , 1.14 ,18.607,106.3%,104.2%," 1,735,000,064.00 ",0.29091,32.111,9.341," 55,712,530,432.00 ",USD," 247,895,360.00 ", 7.30 , 30.96 ," 1,556,125,056.00 "," 8,900.00 ",83.870%," 5,002,000,000.00 ",4.69%,90.49%,Software - Application,1152230400,1-Feb," 1,211,000,064.00 ",15," 2,112,000,000.00 ",25.10%,2, 2.01 , 2.00 , 24.83 ,20.31%, 0.88 ,buy,2.3,20.24%,65.32%,17.30%, 23.30 ,Technology,2," 258,672,000.00 ",1.11%," 2,848,799.00 "," 2,847,957.00 ",1.17%, 2.63 , 250.00 , 154.00 , 215.27 , 227.00 ," 1,716,000,000.00 ", 6.63 ," 438,000,000.00 "," 5,964,000,256.00 ", 4.64 
STX,192.79%,5.36%,142.41%, 4.87 ,6.65%,188.52%, 289.43 ,57.7%,15.2%,1, 1.59 ,5, 5.80 ,4, 48.98 , 1.35 ,289.429,311.2%,304.4%," 2,328,000,000.00 ",0.20815,7.367,1.533," 17,150,053,376.00 ",USD," 258,770,665.00 ", 6.07 , 8.07 ," 1,387,750,016.00 "," 43,000.00 ",30.088%," 3,365,000,000.00 ",73.62%,0.00%,Data Storage,,," 1,182,000,000.00 ",21," 2,112,999,936.00 ",15.47%,6, 1.11 , 2.00 , 8.45 ,10.57%, 0.95 ,hold,2.9,11.58%,78.05%,17.80%, 38.83 ,Technology,8," 287,184,992.00 ",7.63%," 21,924,581.00 "," 19,092,115.00 ",11.40%, 6.55 , 78.00 , 43.00 , 57.86 , 57.00 ," 1,852,999,936.00 ", 6.45 ," 4,818,999,808.00 "," 11,184,000,000.00 ", 4.05 
VRTU,372.73%,0.00%,94.24%, 0.93 ,2.99%,54.13%, 56.59 ,55.5%,15.2%,1, 1.62 ,5, 13.62 ,7, 56.36 , 2.50 ,56.594,,," 82,496,000.00 ",0.07545,23.205,1.751," 1,914,301,824.00 ",USD," 27,227,354.00 ", 2.79 , 20.20 ," 99,519,504.00 "," 21,145.00 ",29.058%," 295,224,000.00 ",5.59%,90.26%,Information Technology Services,,," (13,049,000.00)",6," 54,905,000.00 ",5.19%,7, 1.28 , 2.00 , 4.14 ,-0.80%, 2.25 ,buy,1.6,3.51%,-0.21%,32.00%, 37.20 ,Technology,10," 29,741,400.00 ",1.55%," 460,813.00 "," 545,535.00 ",2.18%, 3.37 , 70.00 , 56.00 , 63.67 , 63.00 ," 211,188,000.00 ", 7.10 ," 299,032,992.00 "," 1,093,355,008.00 ", (0.45)
NTB,-37.29%,-40.07%,26.69%, 13.14 ,27.85%,2.13%, -   ,54.5%,15.2%,, 0.04 ,, 15.38 ,, 51.69 ,,,36.9%,37.9%,,0,,2.345," 1,140,103,808.00 ",USD," 53,158,506.00 ", 4.49 , 11.51 ,," 1,117.00 ",0.000%," 454,800,000.00 ",44.46%,0.00%,Banks - Global,,," 175,254,000.00 ",6," 248,196,000.00 ",37.39%,, 2.35 , 2.00 , 3.36 ,36.04%,,buy,2.2,1.62%,21.66%,14.90%, 8.87 ,Financial Services,," 55,172,300.00 ",0.36%," 196,121.00 "," 193,047.00 ",0.36%, 0.94 , 59.00 , 53.00 , 56.83 , 58.00 ," 1,877,545,984.00 ", 34.03 ," 153,656,000.00 "," 486,243,008.00 ", 3.14 
FFIN,1.97%,12.32%,40.72%, 7.09 ,35.96%,4.89%, -   ,52.9%,15.2%,1, 1.32 ,7, 14.67 ,8, 61.70 ,,,28.7%,33.2%,,0,,12.423," 4,283,993,344.00 ",USD," 64,035,207.00 ", 2.34 , 26.37 ,," 1,300.00 ",0.000%," 321,174,000.00 ",4.62%,69.68%,Banks - Regional - US,1401753600,1-Feb," 137,668,992.00 ",6," 181,739,008.00 ",47.77%,6, 2.72 , 2.00 , 4.21 ,39.92%,,hold,3.2,1.88%,14.70%,14.20%, 5.16 ,Financial Services,4," 67,669,696.00 ",9.95%," 6,735,335.00 "," 6,845,677.00 ",12.21%, 32.25 , 57.00 , 42.00 , 50.83 , 50.50 ," 287,624,000.00 ", 4.28 ," 456,935,008.00 "," 344,846,016.00 ", 2.04 
NVEC,38.23%,31.30%,148.85%, 0.01 ,45.55%,22.32%, -   ,51.8%,15.2%,1, 1.61 ,6, 17.65 ,4, 110.25 , 23.93 ,,19.1%,19.6%," 19,257,764.00 ",0.65583,27.562,18.076," 530,781,312.00 ",USD," 4,750,012.00 ", 2.83 ,," 11,052,554.00 ", 45.00 ,80.001%," 23,589,137.00 ",1.93%,88.44%,Semiconductors,1037923200,5-Jan," 14,560,106.00 ",1," 14,579,260.00 ",62.46%,2,, 2.00 , 6.25 ,49.59%, 21.35 ,hold,3,12.69%,16.49%,-6.60%, 6.07 ,Technology,2," 4,842,010.00 ",1.95%," 94,639.00 "," 85,445.00 ",2.36%, 4.17 , 79.00 , 79.00 , 79.00 , 79.00 ," 31,376,036.00 ", 6.48 , -   ," 29,364,120.00 ", 3.00 
NGHC,119.30%,136.42%,26.31%, 3.67 ,4.31%,6.98%, 35.59 ,51.0%,15.2%,2, 0.38 ,8, 14.59 ,6, 25.47 , 0.71 ,35.587,580.0%,234.1%," 366,900,000.00 ",0.082679994,9.515,0.787," 3,491,167,744.00 ",USD," 56,363,775.00 ", 2.58 , 9.87 ," 135,237,248.00 "," 7,570.00 ",26.535%," 1,132,358,000.00 ",42.94%,50.29%,Insurance - Property & Casualty,,," 136,846,000.00 ",4," 281,316,992.00 ",6.33%,6, 0.81 , 2.00 , 1.75 ,3.79%, 0.35 ,buy,2.2,2.08%,7.67%,-1.60%, 41.57 ,Financial Services,3," 107,058,000.00 ",0.59%," 636,460.00 "," 817,343.00 ",1.04%, 4.09 , 32.00 , 29.00 , 30.50 , 30.50 ," 480,704,992.00 ", 4.49 ," 705,076,992.00 "," 4,437,585,920.00 ", 1.25 
KNSL,31.96%,46.77%,12.56%, 2.51 ,19.81%,3.37%, -   ,49.7%,15.2%,2, 0.13 ,8, 11.71 ,7, 59.99 , 0.34 ,,17.5%,19.0%," 38,210,500.00 ",0.18761998,31.729,5.953," 1,212,378,752.00 ",USD," 19,595,508.00 ", 2.20 , 27.27 ," 103,570,496.00 ", 164.00 ,13.701%," 29,151,000.00 ",7.81%,83.82%,Insurance - Property & Casualty,,," 27,524,000.00 ",3," 87,039,000.00 ",18.54%,6, 2.19 , 2.00 , 5.12 ,13.52%, 0.22 ,buy,2.4,3.49%,11.61%,20.70%, 9.68 ,Financial Services,2," 21,181,100.00 ",2.36%," 499,472.00 "," 510,680.00 ",2.57%, 6.61 , 70.00 , 61.00 , 65.33 , 65.00 ," 79,670,000.00 ", 3.76 , -   ," 203,654,000.00 ", 1.27 
NRIM,18.89%,7.92%,37.14%, 7.18 ,15.78%,0.00%, -   ,49.2%,15.2%,2, 0.58 ,5, 29.02 ,5, 44.75 ,,,64.7%,62.4%,,0,,3.528," 314,380,736.00 ",USD," 6,735,912.00 ", 2.90 , 15.43 ,, 429.00 ,0.000%," 89,818,000.00 ",2.02%,72.48%,Banks - Regional - US,1190160000,105/100," 15,629,000.00 ",1," 9,645,000.00 ",25.76%,3,, 2.00 , 1.54 ,17.54%,,hold,3,1.06%,8.03%,-0.40%, 12.97 ,Financial Services,2," 6,872,960.00 ",0.86%," 59,177.00 "," 60,369.00 ",0.88%, 2.61 , 44.00 , 44.00 , 44.00 , 44.00 ," 36,037,000.00 ", 5.24 ," 45,602,000.00 "," 89,102,000.00 ", 2.24 
MA,19.59%,22.95%,21.26%, 2.29 ,36.13%,370.76%, 109.50 ,48.6%,15.2%,1, 1.00 ,2, 5.06 ,1, 213.45 , 1.51 ,109.495,36.4%,33.3%," 8,208,999,936.00 ",0.58825,26.697,15.705," 219,157,528,576.00 ",USD," 1,019,272,242.00 ", 7.50 , 28.46 ," 6,860,125,184.00 "," 13,400.00 ",100.000%," 12,497,000,000.00 ",11.05%,77.53%,Credit Services,1390348800,1-Oct," 4,718,000,128.00 ",36," 6,026,999,808.00 ",55.46%,2, 1.46 , 2.00 , 42.22 ,33.81%, 1.21 ,buy,1.7,22.87%,83.52%,20.00%, 13.25 ,Financial Services,6," 1,025,049,984.00 ",0.65%," 6,748,968.00 "," 7,071,691.00 ",0.74%, 1.95 , 260.00 , 206.00 , 229.28 , 229.50 ," 7,744,999,936.00 ", 7.46 ," 5,857,999,872.00 "," 13,955,000,320.00 ", 4.46 
CHFN,-24.78%,-2.89%,35.09%, 5.58 ,17.46%,6.32%, -   ,47.9%,15.2%,2, 0.48 ,7, 15.43 ,3, 24.91 ,,,30.4%,32.2%,,0,,3.246," 254,213,856.00 ",USD," 10,171,638.00 ", 1.53 , 16.28 ,, 351.00 ,0.000%," 69,280,581.00 ",14.72%,66.45%,Banks - Regional - US,1365465600,1247/1000," 16,852,418.00 ",2," 23,113,904.00 ",37.45%,6,, 2.00 , 1.61 ,21.52%,,hold,3,1.09%,7.72%,20.30%, 5.41 ,Financial Services,10," 14,683,300.00 ",0.20%," 30,897.00 "," 30,600.00 ",0.22%, 0.49 , 23.50 , 21.50 , 22.50 , 22.50 ," 174,926,144.00 ", 12.03 ," 66,838,568.00 "," 78,313,032.00 ", 1.11 
ERIC,219.54%,-16.20%,258.13%, 1.19 ,-3.74%,34.87%, 36.10 ,46.6%,15.2%,1, 0.88 ,5, 3.17 ,8, 8.53 , 1.51 ,36.098,,," 402,207,200.00 ",0.01818,67.117,1.22," 26,994,763,776.00 ",SEK," 2,764,810,207.00 ", 0.35 , 24.37 ," 3,070,618,880.00 "," 95,260.00 ",30.463%," 50,481,000,000.00 ",0.01%,20.33%,Communication Equipment,1213056000,1-Feb," (3,084,001,280.00)",6," 1,593,965,568.00 ",-0.23%,6, 0.23 , 2.00 , 2.69 ,-13.94%, 1.22 ,hold,2.9,-0.10%,-24.95%,-0.90%, 6.73 ,Technology,8," 3,290,619,904.00 ",0.57%," 18,881,330.00 "," 19,400,048.00 ",, 3.42 , 9.40 , 7.00 , 8.10 , 8.25 ," 5,106,747,904.00 ", 1.55 ," 3,802,839,808.00 "," 22,118,918,144.00 ", (0.94)
MSFT,5.92%,8.74%,58.90%, 1.89 ,21.31%,25.23%, 105.79 ,46.5%,15.2%,1, 1.26 ,1, 10.78 ,3, 111.24 , 2.90 ,105.791,10.8%,10.0%," 44,957,999,104.00 ",0.40737,17.43,7.101," 783,616,770,048.00 ",USD," 7,560,862,274.00 ", 4.91 , 22.66 ," 25,094,125,568.00 "," 131,000.00 ",65.247%," 72,007,000,000.00 ",1.39%,74.57%,Software - Infrastructure,1045526400,1-Feb," 16,570,999,808.00 ",33," 43,883,999,232.00 ",31.77%,1, 2.05 , 2.00 , 10.32 ,15.02%, 2.74 ,buy,1.7,8.61%,19.45%,17.50%, 14.33 ,Technology,1," 7,668,219,904.00 ",0.58%," 44,633,868.00 "," 47,158,592.00 ",0.59%, 1.69 , 135.00 , 75.00 , 121.64 , 124.00 ," 133,669,003,264.00 ", 17.43 ," 87,508,000,768.00 "," 110,360,002,560.00 ", 2.13 
RL,-185.24%,0.99%,-7.75%, 0.72 ,2.16%,92.63%, 24.79 ,45.6%,15.2%,1, 0.42 ,9, 42.18 ,10, 131.57 , 2.27 ,24.788,81.9%,83.2%," 954,400,000.00 ",0.1533,9.826,1.506," 9,378,160,640.00 ",USD," 54,523,494.00 ", 7.27 , 18.10 ," 637,037,504.00 "," 12,800.00 ",61.086%," 3,759,300,000.00 ",1.48%,107.06%,Apparel Manufacturing,,," 212,300,000.00 ",16," 871,500,032.00 ",10.86%,10, 1.96 , 2.00 , 3.12 ,3.41%, 1.59 ,hold,3,7.13%,6.26%,3.20%, 76.13 ,Consumer Cyclical,10," 55,248,800.00 ",7.19%," 5,835,578.00 "," 6,178,457.00 ",13.92%, 5.54 , 166.00 , 112.00 , 137.44 , 138.50 ," 2,020,000,000.00 ", 24.90 ," 848,000,000.00 "," 6,225,800,192.00 ", 2.57 
PGR,-1.41%,-11.73%,27.39%, 3.09 ,5.48%,8.35%, 34.40 ,45.5%,15.2%,1, 0.48 ,3, 18.04 ,5, 67.99 , 0.45 ,34.401,88.9%,91.6%," 3,129,999,872.00 ",0.10669,13.196,1.408," 41,303,212,032.00 ",USD," 578,405,471.00 ", 4.53 , 15.01 ," 5,236,312,576.00 "," 33,656.00 ",10.257%," 2,402,500,000.00 ",0.66%,82.04%,Insurance - Property & Casualty,1390780800,1-Jan," 2,214,599,936.00 ",16," 5,217,500,160.00 ",9.84%,4, 0.63 , 2.00 , 3.77 ,7.58%, 0.35 ,buy,2.3,4.51%,21.50%,21.40%, 50.44 ,Financial Services,5," 583,100,032.00 ",1.64%," 9,585,876.00 "," 8,237,141.00 ",1.67%, 2.57 , 75.00 , 52.00 , 67.81 , 69.00 ," 3,385,999,872.00 ", 5.81 ," 3,859,500,032.00 "," 29,336,999,936.00 ", 3.78 
CSCO,3128.91%,13.52%,1842.35%, 1.13 ,14.02%,25.30%, 59.21 ,45.2%,15.2%,1, 1.12 ,7, 9.25 ,1, 47.03 , 2.29 ,59.205,68.3%,56.9%," 14,737,000,448.00 ",0.29874,13.172,3.935," 194,112,274,432.00 ",USD," 4,569,642,742.00 ", 3.25 , 14.47 ," 10,239,250,432.00 "," 74,200.00 ",62.183%," 30,675,000,000.00 ",0.10%,76.02%,Communication Equipment,953769600,1-Feb," 110,000,000.00 ",25," 13,665,999,872.00 ",25.90%,1, 1.78 , 2.00 , 5.09 ,0.22%, 2.11 ,buy,2.1,6.69%,0.20%,5.90%, 10.20 ,Technology,1," 4,571,330,048.00 ",0.88%," 40,119,782.00 "," 42,120,412.00 ",, 2.19 , 60.00 , 40.00 , 51.08 , 51.00 ," 46,548,000,768.00 ", 10.18 ," 25,578,999,808.00 "," 49,329,999,872.00 ", 0.02 
LMNX,39.90%,0.00%,35.29%, 0.11 ,10.07%,60.90%, -   ,45.1%,15.2%,1, 0.77 ,5, 10.62 ,2, 29.11 , 6.76 ,,1.0%,2.3%," 61,577,000.00 ",0.19575001,18.085,3.54," 1,113,607,808.00 ",USD," 41,623,649.00 ", 0.54 , 53.91 ," 22,642,376.00 ", 896.00 ,63.289%," 199,046,000.00 ",4.84%,84.82%,Medical Instruments & Supplies,,," 33,136,000.00 ",5," 68,294,000.00 ",12.14%,3, (4.38), 2.00 , 2.74 ,10.72%, 5.11 ,hold,2.7,4.93%,7.63%,4.10%, 7.24 ,Healthcare,5," 44,608,400.00 ",4.82%," 2,148,017.00 "," 1,751,766.00 ",6.09%, 4.45 , 37.00 , 20.00 , 29.60 , 30.00 ," 138,996,000.00 ", 3.12 , -   ," 314,575,008.00 ", 0.76 
MSI,-133.51%,-0.72%,-34.22%, (31.70),5.85%,200.01%, -   ,44.9%,15.2%,1, 0.33 ,10, (9.29),10, 127.44 , 1.23 ,,34.6%,37.4%," 1,771,000,064.00 ",0.2593,14.317,3.712," 25,355,806,720.00 ",USD," 161,677,773.00 ", 7.55 , 16.88 ," 906,625,024.00 "," 16,000.00 ",47.877%," 3,033,000,000.00 ",0.39%,89.25%,Communication Equipment,1294099200,10000/40425," (66,000,000.00)",12," 956,000,000.00 ",20.73%,10, 1.22 , 2.00 ,,-0.97%, 0.99 ,buy,1.8,10.31%,,17.60%, 42.19 ,Technology,4," 162,267,008.00 ",2.50%," 4,058,371.00 "," 4,334,580.00 ",2.73%, 4.12 , 149.00 , 120.00 , 134.86 , 134.50 ," 878,000,000.00 ", 5.41 ," 5,645,000,192.00 "," 6,830,000,128.00 ", (0.42)
PLT,-3203.27%,-7.73%,-748.69%, 1.90 ,5.75%,27.52%, 131.60 ,44.8%,15.2%,1, 1.01 ,3, 11.49 ,4, 64.65 , 7.40 ,131.596,-26.0%,-23.1%," 143,578,000.00 ",0.16422,13.225,2.172," 1,898,822,400.00 ",USD," 27,149,498.00 ", 4.87 , 13.28 ," 69,328,624.00 "," 4,003.00 ",50.976%," 440,715,000.00 ",0.84%,96.96%,Communication Equipment,965779200,1-Mar," (5,551,000.00)",2," 140,344,992.00 ",14.58%,2, 1.57 , 2.00 , 5.63 ,-0.60%, 6.42 ,buy,1.7,7.55%,-1.37%,8.50%, 27.01 ,Technology,2," 39,723,800.00 ",3.89%," 1,545,232.00 "," 695,590.00 ",6.25%, 4.15 , 86.00 , 85.00 , 85.50 , 85.50 ," 645,188,992.00 ", 19.80 ," 492,871,008.00 "," 874,286,016.00 ", (0.18)
NICE,-6.11%,-24.87%,18.06%, 0.56 ,16.73%,73.27%, 23.99 ,44.4%,15.2%,, 0.66 ,, 30.77 ,, 115.21 , 1.48 ,23.987,63.6%,67.5%," 332,824,000.00 ",0.23902,21.15,5.055," 7,039,270,400.00 ",USD," 61,150,788.00 ", 5.03 , 22.90 ," 322,188,736.00 "," 5,208.00 ",65.778%," 863,479,000.00 ",0.17%,48.19%,Software - Application,1149033600,1-Feb," 163,322,000.00 ",9," 393,926,016.00 ",12.77%,, 2.04 , 2.00 , 3.74 ,11.73%, 1.32 ,buy,2.4,3.89%,9.34%,9.80%, 22.86 ,Technology,," 61,212,000.00 ",2.26%," 1,389,505.00 "," 1,211,571.00 ",, 6.16 , 127.00 , 101.00 , 111.22 , 110.00 ," 510,608,992.00 ", 8.34 ," 451,736,000.00 "," 1,392,473,984.00 ", 2.61 
LOW,7.63%,16.15%,37.07%, 4.15 ,4.70%,4050.84%, 273.85 ,42.9%,15.2%,1, 1.66 ,1, 7.13 ,3, 114.18 , 1.06 ,273.845,10.7%,7.1%," 8,045,000,192.00 ",0.11409,12.65,1.443," 101,767,880,704.00 ",USD," 806,973,906.00 ", 6.00 , 19.03 ," 3,844,624,896.00 "," 310,000.00 ",34.250%," 23,409,000,000.00 ",0.16%,74.97%,Home Improvement Stores,1151884800,1-Feb," 3,923,000,064.00 ",28," 5,777,999,872.00 ",9.25%,1, 1.38 , 2.00 , 16.02 ,5.58%, 0.18 ,buy,1.9,11.05%,69.54%,7.10%, 85.57 ,Consumer Cyclical,4," 811,000,000.00 ",1.10%," 8,934,604.00 "," 8,740,954.00 ",1.08%, 2.60 , 140.00 , 95.00 , 118.29 , 119.00 ," 2,641,999,872.00 ", 3.27 ," 15,831,000,064.00 "," 70,511,001,600.00 ", 4.75 
EFSC,12.80%,35.62%,17.25%, 9.16 ,27.28%,13.51%, -   ,42.7%,15.2%,1, 0.74 ,1, 24.81 ,1, 55.70 ,,,90.0%,86.1%,,0,,8.13," 1,764,022,784.00 ",USD," 21,649,181.00 ", 3.91 , 14.25 ,, 635.00 ,0.000%," 201,179,000.00 ",2.50%,78.84%,Banks - Regional - US,,," 67,016,000.00 ",5," 105,303,000.00 ",50.12%,1, 1.67 , 2.00 , 2.25 ,30.89%,,hold,2.6,1.27%,11.94%,12.40%, 9.37 ,Financial Services,1," 23,150,700.00 ",1.17%," 271,490.00 "," 324,033.00 ",1.20%, 2.74 , 64.00 , 59.00 , 61.00 , 60.00 ," 183,500,000.00 ", 7.93 ," 652,238,976.00 "," 216,988,000.00 ", 2.86 
FLR,36.02%,-2.19%,44.65%, 1.72 ,1.58%,75.95%, 51.99 ,42.4%,15.2%,1, 1.71 ,4, 21.63 ,6, 57.15 , 1.45 ,51.994,,," 775,323,008.00 ",0.0394,10.195,0.402," 7,904,462,336.00 ",USD," 139,852,598.00 ", 3.50 , 16.33 ," 220,340,880.00 "," 56,706.00 ",3.580%," 618,490,000.00 ",0.49%,90.26%,Engineering & Construction,1216252800,1-Feb," 252,032,992.00 ",14," 41,445,000.00 ",2.79%,3, 0.57 , 2.00 , 2.64 ,1.28%, 1.31 ,buy,2.4,3.75%,9.63%,3.60%, 140.41 ,Industrials,3," 140,619,008.00 ",3.78%," 5,322,162.00 "," 4,762,348.00 ",4.25%, 4.09 , 69.00 , 50.00 , 59.50 , 59.50 ," 1,783,084,032.00 ", 12.68 ," 1,655,931,008.00 "," 19,676,538,880.00 ", 1.79 
INFY,5.78%,13.13%,48.78%, 0.22 ,21.76%,360.34%, -   ,42.4%,15.2%,3, 0.27 ,1, 2.04 ,6, 20.97 , 2.93 ,,3.8%,-1.3%," 2,976,999,936.00 ",0.26774,29.296,7.844," 87,213,121,536.00 ",USD," 3,685,500,300.00 ", 1.13 , 18.56 ," 1,274,125,056.00 "," 204,107.00 ",34.796%," 3,811,000,000.00 ",0.00%,18.70%,Information Technology Services,1435190400,1-Feb," 2,479,000,064.00 ",12," 2,244,000,000.00 ",24.22%,1, 2.22 , 2.00 , 10.28 ,22.30%, 2.57 ,hold,2.9,13.69%,25.46%,6.80%, 2.50 ,Technology,1," 4,346,670,080.00 ",3.31%," 67,252,311.00 "," 65,550,536.00 ",, 15.67 , 22.37 , 10.35 , 17.76 , 18.25 ," 3,415,000,064.00 ", 0.79 , -   ," 11,118,999,552.00 ", 0.56 
BA,4.98%,17.47%,48.70%, 127.30 ,6.45%,343.60%, -   ,42.1%,15.6%,1, 1.66 ,5, (2.50),6, 345.12 , 1.11 ,,30.0%,25.6%," 13,056,000,000.00 ",0.13597,15.554,2.115," 203,079,270,400.00 ",USD," 532,471,541.00 ", 17.61 , 19.60 ," 7,561,999,872.00 "," 140,800.00 ",19.130%," 17,326,000,000.00 ",0.10%,70.21%,Aerospace & Defense,865814400,1-Feb," 9,541,999,616.00 ",23," 14,113,000,448.00 ",11.39%,4, 1.14 , 2.00 ,,9.94%, 0.29 ,buy,2,6.73%,,5.20%, 162.11 ,Industrials,4," 574,508,032.00 ",0.76%," 4,363,111.00 "," 4,883,439.00 ",0.74%, 1.52 , 515.00 , 334.00 , 411.48 , 415.00 ," 9,770,000,384.00 ", 17.01 ," 12,117,999,616.00 "," 96,019,996,672.00 ", 15.92 
QCOM,71.96%,7.98%,79.64%, 0.80 ,18.71%,56.05%, 97.46 ,42.1%,15.2%,1, 1.60 ,1, 15.70 ,2, 72.51 , 2.73 ,97.455,41.4%,40.8%," 6,911,000,064.00 ",0.30269,13.018,3.94," 89,967,034,368.00 ",USD," 1,466,789,844.00 ", 4.41 , 16.44 ," 4,616,999,936.00 "," 33,800.00 ",57.936%," 12,936,000,000.00 ",0.16%,79.52%,Semiconductors,1092614400,1-Feb," (4,201,999,872.00)",20," 6,447,000,064.00 ",23.43%,1, 1.30 , 2.00 , 4.62 ,-18.40%, 2.41 ,buy,2.2,5.29%,-15.46%,4.20%, 15.45 ,Technology,4," 1,469,129,984.00 ",1.08%," 15,903,428.00 "," 15,021,444.00 ",1.08%, 1.50 , 88.00 , 55.00 , 70.35 , 69.00 ," 35,910,000,640.00 ", 24.44 ," 22,481,000,448.00 "," 22,832,001,024.00 ", (2.85)
SNE,11.45%,35.97%,16.32%, 5.50 ,2.85%,4.61%, 34.08 ,41.1%,15.2%,1, 1.66 ,1, 23.09 ,2, 56.85 , 0.92 ,34.079,178.8%,180.0%," 9,801,068,544.00 ",0.12505999,7.022,0.878," 68,821,336,064.00 ",JPY," 1,249,692,483.00 ", 4.13 , 13.77 ," 6,335,510,528.00 ",,27.408%," 2,304,181,000,000.00 ",0.00%,7.72%,Consumer Electronics,959212800,1-Feb," 5,778,875,904.00 ",2," 11,821,509,632.00 ",9.07%,1, 1.88 , 2.00 , 2.46 ,7.37%, 0.71 ,strong_buy,1,2.60%,19.38%,5.10%, 61.95 ,Technology,5," 1,268,039,936.00 ",0.14%," 1,774,709.00 "," 2,654,595.00 ",, 2.10 , 76.40 , 75.09 , 75.75 , 75.75 ," 20,728,899,584.00 ", 16.35 ," 11,982,878,720.00 "," 78,370,619,392.00 ", 4.47 
XL,-23.00%,10.74%,9.02%, 4.43 ,3.91%,2.23%, 28.58 ,40.9%,15.2%,2, 0.06 ,2, 37.33 ,9, 57.59 , 0.52 ,28.579,6.1%,5.8%," (58,778,000.00)",-0.00506,-239.71,1.212," 14,089,659,392.00 ",USD," 254,666,505.00 ", 3.75 , 15.36 ," 590,820,736.00 "," 7,304.00 ",12.830%," 1,498,908,000.00 ",48.89%,0.00%,Insurance - Property & Casualty,838598400,1-Feb," (543,217,024.00)",9," (456,356,000.00)",-1.41%,8, 0.77 , 2.00 , 1.54 ,-4.67%, 0.31 ,hold,3,-0.16%,-4.24%,8.40%, 45.21 ,Financial Services,8," 258,794,000.00 ",2.60%," 6,720,486.00 "," 6,893,815.00 ",2.61%, 5.62 , 58.00 , 38.00 , 53.64 , 57.00 ," 5,522,314,752.00 ", 21.34 ," 3,217,123,072.00 "," 11,622,597,632.00 ", (2.11)
FBR,-18.36%,-18.95%,227.53%, 1.48 ,9.95%,629.93%, 139.43 ,40.8%,15.2%,3, (0.20),4, 7.14 ,6, 18.63 , 2.39 ,139.43,,," 1,927,546,496.00 ",0.4784,7.697,3.682," 14,836,147,200.00 ",BRL," 228,857,587.00 ", 1.86 , 10.02 ," (1,163,913,856.00)",,39.313%," 3,490,737,000.00 ",0.23%,8.27%,Paper & Paper Products,1102464000,2-May," 374,210,144.00 ",5," 1,382,569,600.00 ",31.61%,4,, 2.00 , 2.61 ,9.29%, 1.32 ,hold,3,7.78%,9.87%,70.20%, 7.28 ,Basic Materials,2," 553,276,992.00 ",0.12%," 647,561.00 "," 619,643.00 ",, 0.52 , 22.71 , 16.63 , 19.22 , 19.25 ," 1,140,563,328.00 ", 2.06 ," 5,533,992,448.00 "," 4,029,133,824.00 ", 0.68 
